zone,origin_tours_1pct,destination_tours_1pct
0101,91,92
0102,79,78
0103,34,36
0104,103,99
0105,143,135
0106,67,76
0107,47,48
0108,15,19
0109,6,5
0110,320,320
0111,167,172
0112,181,172
0113,91,87
0114,116,115
0115,145,134
0116,197,176
0117,153,163
0118,21,24
0201,1469,1451
0301,483,515
0302,133,141
0303,12,12
0304,165,164
0305,86,89
0403,0,0
0404,12,11
0405,10,10
0406,58,64
0408,209,206
0411,4,4
0412,1,1
0501,34,35
0503,14,13
0601,13,10
0602,38,42
0604,14,13
0606,19,17
0807,23,25
0812,16,15
0813,2,1
0814,0,1

metric,value
covered_zones,41
retained_od_pairs,575
retained_tours_1pct,4791
retained_tours_100pct,479100
